tema,amzius,sritis,piko_menesiai,bazinis_paklausos_balas,gamybos_dienos,isankstinio_paskelbimo_dienos,paieskos_frazes
Pirmas garsas,5–7 m.,Kalbinis ugdymas,"rugsėjis,spalis",9,2,22,pirmas garsas
Paskutinis garsas,5–7 m.,Kalbinis ugdymas,"spalis,lapkritis",7,2,18,paskutinis garsas
Garsų vieta žodyje,5–8 m.,Kalbinis ugdymas,"spalis,lapkritis",7,3,20,garsų vieta žodyje
Skiemenys,5–9 m.,Kalbinis ugdymas,"spalis,lapkritis,sausis",9,3,24,skiemenys vaikams|skiemenavimo užduotys|skiemenuoti žodžius|skiemenų kortelės
Žodžių sudarymas,6–9 m.,Lietuvių kalba,"spalis,lapkritis",7,3,20,žodžių sudarymas
Rimavimas,5–8 m.,Kalbinis ugdymas,"lapkritis,sausis",6,2,16,rimavimas
Pasakojimas pagal paveikslėlius,4–8 m.,Kalbinis ugdymas,"rugsėjis,spalis,sausis",7,3,18,pasakojimas pagal paveikslėlius
Teksto suvokimas,6–10 m.,Lietuvių kalba,"rugsėjis,spalis,lapkritis,sausis",9,4,26,teksto suvokimo užduotys|teksto suvokimas vaikams|skaitymo suvokimas|trumpi tekstai vaikams
Žodyno plėtimas,3–8 m.,Kalbinis ugdymas,"rugsėjis,spalis,sausis",7,2,18,žodyno plėtimas
Skaičiai iki 5,3–5 m.,Matematika,"rugsėjis,spalis",8,2,20,skaičiai iki 5
Skaičiai iki 10,4–6 m.,Matematika,"rugsėjis,spalis",9,2,22,skaičiai iki 10|skaičiavimo užduotys iki 10|mokausi skaičiuoti|skaičių kortelės
Skaičiai iki 20,5–7 m.,Matematika,"rugsėjis,spalis,sausis",9,3,24,skaičiai iki 20|skaičiavimo užduotys iki 20|skaičių kortelės 1 20
Kiekis ir skaičius,4–7 m.,Matematika,"rugsėjis,spalis",8,3,22,kiekis ir skaičius
Skaičių palyginimas,5–8 m.,Matematika,"spalis,lapkritis",8,3,22,skaičių palyginimas
Sudėtis,6–9 m.,Matematika,"spalis,lapkritis,sausis",9,4,26,sudėtis
Atimtis,6–9 m.,Matematika,"spalis,lapkritis,sausis",9,4,26,atimtis
Geometrinės figūros,4–9 m.,Matematika,"rugsėjis,spalis,sausis",8,3,22,geometrinės figūros
Sekos,4–8 m.,Matematika,"spalis,lapkritis",7,2,18,sekos
Dėsningumai,5–9 m.,Matematika,"spalis,lapkritis",7,3,20,dėsningumai
Rūšiavimas,3–7 m.,Matematika,"rugsėjis,spalis",7,2,18,rūšiavimas
Orientacija erdvėje,4–8 m.,Matematika,"rugsėjis,spalis",7,3,20,orientacija erdvėje
Dydžiai,4–8 m.,Matematika,"spalis,lapkritis",6,2,18,dydžiai
Laikrodis,7–10 m.,Matematika,"spalis,sausis,kovas",8,4,24,laikrodis
Pinigai,6–10 m.,Matematika,"lapkritis,sausis,balandis",7,4,22,pinigai
Daugybos lentelė,8–10 m.,Matematika,"spalis,lapkritis,sausis,vasaris",9,5,30,daugybos lentelė|daugybos užduotys|mokytis daugybos|daugybos lentelė vaikams
Dalyba,8–10 m.,Matematika,"lapkritis,sausis,vasaris",8,5,28,dalyba
Lyginiai ir nelyginiai skaičiai,7–10 m.,Matematika,"spalis,lapkritis",7,4,24,lyginiai ir nelyginiai skaičiai
Trupmenos,8–11 m.,Matematika,"sausis,vasaris,kovas",8,5,30,trupmenos
Matavimo vienetai,7–10 m.,Matematika,"sausis,vasaris,kovas",7,4,24,matavimo vienetai
Kampų rūšys,9–11 m.,Matematika,"vasaris,kovas",7,5,28,kampų rūšys
Simetrija,6–10 m.,Matematika,"spalis,kovas",6,3,20,simetrija
Rudens požymiai,3–8 m.,Pasaulio pažinimas,"rugpjūtis,rugsėjis,spalis",10,2,28,rudens požymiai|rudens užduotys vaikams|ruduo vaikams|rudens veiklos vaikams
Rudens žodynas,4–8 m.,Kalbinis ugdymas,"rugpjūtis,rugsėjis,spalis",9,2,26,rudens žodžiai|rudens žodynas|rudens užduotys|rudens kortelės
Medžiai ir lapai,3–8 m.,Gamtos mokslai,"rugsėjis,spalis",9,2,24,medžiai vaikams|medžių lapai|lapuočiai medžiai|rudens lapai vaikams
Vaisiai,3–7 m.,Pasaulio pažinimas,"rugsėjis,spalis",8,2,22,vaisiai vaikams|vaisių kortelės|vaisiai užduotys
Daržovės,3–7 m.,Pasaulio pažinimas,"rugsėjis,spalis",8,2,22,daržovės vaikams|daržovių kortelės|daržovės užduotys
Grybai,4–8 m.,Gamtos mokslai,"rugsėjis,spalis",7,2,20,grybai
Miškas rudenį,4–9 m.,Gamtos mokslai,"rugsėjis,spalis",8,3,22,miškas rudenį
Gyvūnų pasiruošimas žiemai,4–9 m.,Gamtos mokslai,"spalis,lapkritis",8,3,24,gyvūnų pasiruošimas žiemai
Migruojantys paukščiai,4–9 m.,Gamtos mokslai,"rugsėjis,spalis",7,3,22,migruojantys paukščiai
Orai,3–8 m.,Pasaulio pažinimas,"rugsėjis,spalis,sausis,balandis",7,2,18,orai
Metų laikai,3–8 m.,Pasaulio pažinimas,"rugsėjis,sausis,balandis",7,2,18,metų laikai
Žiemos požymiai,3–8 m.,Pasaulio pažinimas,"lapkritis,gruodis,sausis",9,2,26,žiemos požymiai
Žiemos žodynas,4–8 m.,Kalbinis ugdymas,"lapkritis,gruodis,sausis",8,2,24,žiemos žodynas
Gyvūnai žiemą,4–9 m.,Gamtos mokslai,"gruodis,sausis",8,3,22,gyvūnai žiemą
Paukščiai žiemą,4–9 m.,Gamtos mokslai,"gruodis,sausis",8,3,22,paukščiai žiemą
Pavasario požymiai,3–8 m.,Pasaulio pažinimas,"vasaris,kovas,balandis",9,2,26,pavasario požymiai
Pavasario žodynas,4–8 m.,Kalbinis ugdymas,"vasaris,kovas,balandis",8,2,24,pavasario žodynas
Pavasario gėlės,3–8 m.,Gamtos mokslai,"kovas,balandis,gegužė",8,2,22,pavasario gėlės
Vabzdžiai,3–9 m.,Gamtos mokslai,"balandis,gegužė,birželis",9,3,26,vabzdžiai vaikams|vabzdžių kortelės|vabzdžių užduotys|vabzdžiai darželis
Bitės,4–9 m.,Gamtos mokslai,"balandis,gegužė",7,2,20,bitės
Drugeliai,3–8 m.,Gamtos mokslai,"balandis,gegužė",7,2,20,drugeliai
Varlės,3–8 m.,Gamtos mokslai,"balandis,gegužė",6,2,18,varlės
Paukščiai pavasarį,4–9 m.,Gamtos mokslai,"kovas,balandis",8,3,22,paukščiai pavasarį
Vasaros požymiai,3–8 m.,Pasaulio pažinimas,"gegužė,birželis",7,2,20,vasaros požymiai
Vandens sauga,4–10 m.,Gyvenimo įgūdžiai,"gegužė,birželis",8,3,24,vandens sauga
Mokslo metų pradžia,3–10 m.,Sezoninė,"rugpjūtis,rugsėjis",10,1,28,mokslo metų pradžia
Mokytojų diena,3–11 m.,Sezoninė,"rugsėjis,spalis",8,1,22,mokytojų diena
Helovinas,3–10 m.,Sezoninė,"rugsėjis,spalis",8,2,28,helovinas
Vėlinės ir atmintis,6–11 m.,Visuomeninis ugdymas,"spalis,lapkritis",6,3,20,vėlinės ir atmintis
Adventas,3–10 m.,Sezoninė,"lapkritis,gruodis",9,2,30,adventas
Kalėdos,3–11 m.,Sezoninė,"lapkritis,gruodis",10,2,35,kalėdinės užduotys vaikams|kalėdos vaikams|kalėdinės kortelės|advento užduotys
Naujieji metai,3–10 m.,Sezoninė,"gruodis,sausis",6,2,18,naujieji metai
Trys Karaliai,4–9 m.,Sezoninė,"gruodis,sausis",5,2,16,trys karaliai
Užgavėnės,3–10 m.,Etninė kultūra,"sausis,vasaris",8,2,28,užgavėnės
Vasario 16-oji,5–11 m.,Visuomeninis ugdymas,"sausis,vasaris",10,3,32,vasario 16 vaikams|vasario 16 užduotys|Lietuva vaikams|Lietuvos simboliai vaikams
Lietuva,4–11 m.,Visuomeninis ugdymas,"sausis,vasaris,kovas",9,3,28,lietuva
Lietuvos simboliai,5–11 m.,Visuomeninis ugdymas,"sausis,vasaris,kovas",9,3,28,lietuvos simboliai
Kovo 11-oji,5–11 m.,Visuomeninis ugdymas,"vasaris,kovas",10,3,32,kovo 11 vaikams|kovo 11 užduotys|Lietuva vaikams
Knygnešio diena,7–11 m.,Lietuvių kalba,"vasaris,kovas",6,3,22,knygnešio diena
Žemės diena,4–11 m.,Gamtos mokslai,"vasaris,kovas",8,3,26,žemės diena
Velykos,3–11 m.,Sezoninė,"kovas,balandis",10,2,35,velykinės užduotys vaikams|velykos vaikams|velykinės kortelės
Motinos diena,3–11 m.,Sezoninė,"balandis,gegužė",9,2,30,motinos diena
Šeimos diena,3–10 m.,Socialinis-emocinis,"balandis,gegužė",7,2,24,šeimos diena
Vaikų diena,3–11 m.,Sezoninė,"gegužė,birželis",8,2,26,vaikų diena
Tėvo diena,3–11 m.,Sezoninė,"gegužė,birželis",7,2,24,tėvo diena
Sakinys ir žodis,7–9 m.,Lietuvių kalba,"rugsėjis,spalis",8,4,26,sakinys ir žodis
Didžioji raidė,7–9 m.,Lietuvių kalba,"rugsėjis,spalis",7,3,22,didžioji raidė
Skyrybos ženklai,7–10 m.,Lietuvių kalba,"spalis,lapkritis",7,4,24,skyrybos ženklai
Daiktavardis,8–10 m.,Lietuvių kalba,"spalis,lapkritis,sausis",8,4,26,daiktavardis
Būdvardis,8–10 m.,Lietuvių kalba,"lapkritis,sausis",8,4,26,būdvardis
Veiksmažodis,8–10 m.,Lietuvių kalba,"lapkritis,sausis",8,4,26,veiksmažodis
Daiktavardžių giminė,8–10 m.,Lietuvių kalba,"lapkritis,sausis",7,4,24,daiktavardžių giminė
Vienaskaita ir daugiskaita,7–10 m.,Lietuvių kalba,"spalis,lapkritis",7,4,24,vienaskaita ir daugiskaita
Linksniai,9–11 m.,Lietuvių kalba,"sausis,vasaris,kovas",8,5,28,linksniai
Būdvardžių laipsniai,9–11 m.,Lietuvių kalba,"sausis,vasaris",7,5,26,būdvardžių laipsniai
Sinonimai ir antonimai,8–11 m.,Lietuvių kalba,"lapkritis,sausis,vasaris",7,4,24,sinonimai ir antonimai
Žodžio dalys,9–11 m.,Lietuvių kalba,"sausis,vasaris,kovas",8,5,28,žodžio dalys
Giminingi žodžiai,8–11 m.,Lietuvių kalba,"lapkritis,sausis",7,4,24,giminingi žodžiai
Rašyba,7–11 m.,Lietuvių kalba,"rugsėjis,spalis,sausis",8,4,26,rašyba
Šeima,3–8 m.,Visuomeninis ugdymas,"rugsėjis,gegužė",7,2,18,šeima
Profesijos,4–9 m.,Visuomeninis ugdymas,"spalis,gegužė",7,3,20,profesijos
Transportas,3–8 m.,Pasaulio pažinimas,"rugsėjis,gegužė",7,2,18,transportas
Naminiai gyvūnai,3–8 m.,Gamtos mokslai,"spalis,balandis",7,2,20,naminiai gyvūnai
Laukiniai gyvūnai,3–9 m.,Gamtos mokslai,"spalis,sausis",7,3,22,laukiniai gyvūnai
Vanduo,5–10 m.,Gamtos mokslai,"sausis,kovas,balandis",7,4,24,vanduo
Oras,5–10 m.,Gamtos mokslai,"rugsėjis,sausis,balandis",6,4,22,oras
Augalų dalys,5–10 m.,Gamtos mokslai,"kovas,balandis,gegužė",8,4,26,augalų dalys
Gyvūnų grupės,6–10 m.,Gamtos mokslai,"spalis,sausis,balandis",7,4,24,gyvūnų grupės
Mitybos grandinė,8–11 m.,Gamtos mokslai,"sausis,vasaris,balandis",7,5,28,mitybos grandinė
Atliekų rūšiavimas,4–11 m.,Gamtos mokslai,"kovas,balandis",8,3,24,atliekų rūšiavimas
Aplinkosauga,6–11 m.,Gamtos mokslai,"kovas,balandis",8,4,26,aplinkosauga
Lietuvos žemėlapis,7–11 m.,Visuomeninis ugdymas,"sausis,vasaris,kovas",8,4,26,lietuvos žemėlapis
Lietuvos miestai,7–11 m.,Visuomeninis ugdymas,"sausis,vasaris,kovas",7,4,24,lietuvos miestai
Valstybės simboliai,7–11 m.,Visuomeninis ugdymas,"sausis,vasaris,kovas",9,4,28,valstybės simboliai
Teisės ir pareigos,7–11 m.,Visuomeninis ugdymas,"rugsėjis,lapkritis",7,4,24,teisės ir pareigos
Bendruomenė,5–10 m.,Visuomeninis ugdymas,"rugsėjis,gegužė",6,3,20,bendruomenė
